actual_identity,image_path,top1_prediction,top1_score,top1_correct,top3_predictions,top3_correct,search_method
aidai,dataset\RMFRD\masked\aidai\0_0_0.jpg,cengyongti,54.82,False,"cengyongti, aidai, caoying",True,FAISS IndexFlatIP
anhu,dataset\RMFRD\masked\anhu\0_0_5.jpg,changshilei,53.19,False,"changshilei, axin, chendouling",False,FAISS IndexFlatIP
axin,dataset\RMFRD\masked\axin\0_0_0.jpg,axin,29.18,True,"axin, chenbailin, chendouling",True,FAISS IndexFlatIP
baijingting,dataset\RMFRD\masked\baijingting\0_0_3.jpg,baijingting,59.46,True,"baijingting, caobingkun, benxi",True,FAISS IndexFlatIP
baijingting,dataset\RMFRD\masked\baijingting\0_0_9.jpg,baijingting,61.97,True,"baijingting, changyuan, caiyilin",True,FAISS IndexFlatIP
baike,dataset\RMFRD\masked\baike\0_0_0.jpg,changshilei,43.26,False,"changshilei, baojianfeng, caobingkun",False,FAISS IndexFlatIP
baojianfeng,dataset\RMFRD\masked\baojianfeng\0_0_0.jpg,baojianfeng,69.32,True,"baojianfeng, anhu, caobingkun",True,FAISS IndexFlatIP
baojianfeng,dataset\RMFRD\masked\baojianfeng\0_0_5.jpg,anhu,55.37,False,"anhu, baojianfeng, axin",True,FAISS IndexFlatIP
benxi,dataset\RMFRD\masked\benxi\0_0_27.jpg,benxi,58.51,True,"benxi, caihancen, aidai",True,FAISS IndexFlatIP
caiguoqing,dataset\RMFRD\masked\caiguoqing\0_0_16.jpg,baike,37.8,False,"baike, baijingting, caizhuoyan",False,FAISS IndexFlatIP
caihancen,dataset\RMFRD\masked\caihancen\1_0_1.jpg,caihancen,58.83,True,"caihancen, chendouling, changyuan",True,FAISS IndexFlatIP
caiyilin,dataset\RMFRD\masked\caiyilin\0_0_5.jpg,chenbailin,45.75,False,"chenbailin, caihancen, chenderong",False,FAISS IndexFlatIP
caizhuoyan,dataset\RMFRD\masked\caizhuoyan\0_0_0.jpg,caizhuoyan,71.86,True,"caizhuoyan, caihancen, benxi",True,FAISS IndexFlatIP
caizhuoyan,dataset\RMFRD\masked\caizhuoyan\0_0_1.jpg,caizhuoyan,54.88,True,"caizhuoyan, caiyilin, chendouling",True,FAISS IndexFlatIP
caizhuoyan,dataset\RMFRD\masked\caizhuoyan\1_0_14.jpg,benxi,68.14,False,"benxi, caizhuoyan, caihancen",True,FAISS IndexFlatIP
caobingkun,dataset\RMFRD\masked\caobingkun\0_0_11.jpg,caobingkun,70.91,True,"caobingkun, anhu, caiguoqing",True,FAISS IndexFlatIP
caobingkun,dataset\RMFRD\masked\caobingkun\0_0_15.jpg,caobingkun,55.35,True,"caobingkun, anhu, baike",True,FAISS IndexFlatIP
caoying,dataset\RMFRD\masked\caoying\0_0_0.jpg,caoying,54.81,True,"caoying, caiyilin, baojianfeng",True,FAISS IndexFlatIP
caoying,dataset\RMFRD\masked\caoying\1_1_0.jpg,caoying,57.03,True,"caoying, cengyongti, aidai",True,FAISS IndexFlatIP
cengyongti,dataset\RMFRD\masked\cengyongti\0_0_0.jpg,aidai,61.38,False,"aidai, benxi, caihancen",False,FAISS IndexFlatIP
changshilei,dataset\RMFRD\masked\changshilei\0_0_0.jpg,caiguoqing,53.51,False,"caiguoqing, baojianfeng, caobingkun",False,FAISS IndexFlatIP
changyuan,dataset\RMFRD\masked\changyuan\0_0_0.jpg,chenbailin,25.91,False,"chenbailin, chenderong, anhu",False,FAISS IndexFlatIP
changyuan,dataset\RMFRD\masked\changyuan\0_0_1.jpg,cengyongti,28.13,False,"cengyongti, chenderong, caobingkun",False,FAISS IndexFlatIP
chenbailin,dataset\RMFRD\masked\chenbailin\0_0_13.jpg,caiguoqing,66.6,False,"caiguoqing, caobingkun, baike",False,FAISS IndexFlatIP
chenbailin,dataset\RMFRD\masked\chenbailin\0_0_16.jpg,caobingkun,63.63,False,"caobingkun, baike, baojianfeng",False,FAISS IndexFlatIP
chenbailin,dataset\RMFRD\masked\chenbailin\0_0_3.jpg,caobingkun,61.66,False,"caobingkun, chenbailin, baojianfeng",True,FAISS IndexFlatIP
chenderong,dataset\RMFRD\masked\chenderong\0_0_0.jpg,chenderong,69.8,True,"chenderong, aidai, caihancen",True,FAISS IndexFlatIP
chendouling,dataset\RMFRD\masked\chendouling\0_0_0.jpg,baijingting,65.08,False,"baijingting, chendouling, caihancen",True,FAISS IndexFlatIP
chenfarong,dataset\RMFRD\masked\chenfarong\0_0_0.jpg,chenfarong,47.37,True,"chenfarong, baijingting, cengyongti",True,FAISS IndexFlatIP
